Type	chromsome	Start	End	q-value	G-score	average amplitude	frequency
Amp	1	205512500	207172500	0.169382	0.256021	0.488524	0.75
Amp	1	207177500	212792500	0.133141	0.202892	0.517896	0.666667
Amp	1	212797500	213367500	0	0	0.452327	0.583333
Amp	1	213372500	223727500	0	0.145872	0.485997	0.666667
Amp	1	223732500	223747500	0.097697	0.180811	0.450524	0.75
Amp	1	223797500	225607500	0.133141	0.203139	0.481322	0.75
Amp	1	225612500	225672500	0.328749	0.376696	0.569422	0.75
Amp	1	225677500	225877500	0.133141	0.203139	0.474555	0.75
Amp	1	225882500	227042500	0.223284	0.341478	0.54791	0.75
Amp	1	227047500	227187500	0.312326	0.366284	0.561063	0.75
Amp	1	227192500	227502500	0	0.145659	0.444075	0.75
Amp	1	227507500	227912500	0.15657	0.249787	0.503963	0.75
Amp	1	227917500	227982500	0.383658	0.416902	0.592577	0.75
Amp	1	227987500	228067500	0.154842	0.225133	0.49089	0.75
Amp	1	228072500	228087500	0.451188	0.503002	0.64007	0.75
Amp	1	228092500	228137500	0.471206	0.602692	0.692932	0.75
Amp	1	228142500	228187500	0.312326	0.364294	0.566519	0.75
Amp	1	228192500	228737500	0.451188	0.499328	0.638122	0.75
Amp	1	228742500	228787500	0.926938	0.858485	0.828568	0.75
Amp	1	228792500	228797500	0.451188	0.509221	0.649885	0.75
Amp	1	228802500	232767500	0.111999	0.190194	0.540808	0.666667
Amp	1	232772500	234117500	0.210438	0.330933	0.556576	0.75
Amp	1	234122500	234832500	0.111999	0.190194	0.540808	0.666667
Amp	1	234837500	234897500	0.210438	0.327633	0.622795	0.666667
Amp	1	234902500	234907500	0.111999	0.190194	0.600664	0.583333
Amp	1	234912500	248732500	0.077169	0.167866	0.582767	0.583333
Amp	1	248737500	248737500	0.169382	0.28026	0.651021	0.583333
Amp	1	248742500	248792500	0	0.112393	0.593927	0.416667
Amp	1	248797500	249242500	0.15657	0.247892	0.616739	0.583333
Amp	2	12500	1522500	0	0.04205	0.389804	0.166667
Amp	2	1527500	3707500	0	0.083894	0.489652	0.166667
Amp	2	3712500	8262500	0	0	0.643172	0.083333
Amp	2	8267500	10122500	0	0.083421	0.520643	0.166667
Amp	2	10127500	10602500	0.133141	0.199663	0.544509	0.25
Amp	2	10607500	11312500	0	0.083421	0.520643	0.166667
Amp	2	11317500	11482500	0	0	0.643172	0.083333
Amp	2	11487500	12077500	0	0.091072	0.538899	0.166667
Amp	2	12082500	15777500	0	0	0.643172	0.083333
Amp	2	15782500	16067500	0	0.090083	0.536539	0.166667
Amp	2	16072500	16147500	0.9149	0.721575	2.04338	0.166667
Amp	2	16152500	16207500	0	0.090083	0.429905	0.083333
Amp	2	16212500	16252500	0.9149	0.713761	2.04338	0.166667
Amp	2	16257500	16472500	0	0.090083	0.555185	0.166667
Amp	2	16477500	18402500	0	0	0.680465	0.083333
Amp	2	18407500	18587500	0	0.027286	0.405341	0.166667
Amp	2	18592500	19542500	0	0	0.680465	0.083333
Amp	2	19547500	20257500	0	0.026343	0.403091	0.166667
Amp	2	20262500	20442500	0	0.142009	0.679088	0.166667
Amp	2	20447500	20547500	0	0	0.680465	0.083333
Amp	2	20552500	20687500	0	0.115582	0.616031	0.166667
Amp	2	20692500	20897500	0.169382	0.25802	0.641678	0.25
Amp	2	20902500	21107500	0	0	0.680465	0.083333
Amp	2	21112500	21287500	0	0.077535	0.525243	0.166667
Amp	2	21292500	23527500	0	0	0.680465	0.083333
Amp	2	23532500	23677500	0	0.115673	0.664872	0.166667
Amp	2	23682500	23927500	0.169382	0.268452	0.69069	0.25
Amp	2	23932500	23932500	0.010686	0.148024	0.499116	0.25
Amp	2	23937500	25432500	0	0.032351	0.424034	0.166667
Amp	2	25437500	25622500	0	0.110878	0.644645	0.166667
Amp	2	25627500	27242500	0	0.032351	0.457267	0.166667
Amp	2	27247500	27657500	0.077169	0.174181	0.555651	0.25
Amp	2	27662500	31362500	0	0.032351	0.457267	0.166667
Amp	2	31367500	38297500	0	0	0.680465	0.083333
Amp	2	38302500	38367500	0	0.086679	0.55367	0.166667
Amp	2	38372500	38607500	0	0	0.680465	0.083333
Amp	2	38612500	39062500	0	0.071071	0.50982	0.166667
Amp	2	39067500	42952500	0	0	0.680465	0.083333
Amp	2	42957500	43397500	0	0.090613	0.556449	0.166667
Amp	2	43402500	43442500	0.077169	0.174192	0.510236	0.25
Amp	2	43447500	43527500	0	0.090613	0.556449	0.166667
Amp	2	43532500	44042500	0	0	0.680465	0.083333
Amp	2	44047500	44107500	0	0.088575	0.600212	0.166667
Amp	2	44112500	44212500	0	0	0.680465	0.083333
Amp	2	44217500	44392500	0	0.072534	0.513312	0.166667
Amp	2	44397500	44972500	0	0	0.680465	0.083333
Amp	2	44977500	45582500	0	0.078051	0.526476	0.166667
Amp	2	45587500	45862500	0	0	0.680465	0.083333
Amp	2	45867500	48027500	0	0.060357	0.484255	0.166667
Amp	2	48032500	54747500	0	0	0.680465	0.083333
Amp	2	54752500	54792500	0.077169	0.170073	1.509544	0.083333
Amp	2	54797500	60692500	0	0	0.697899	0.083333
Amp	2	60697500	60797500	0	0.092137	0.575409	0.166667
Amp	2	60802500	61767500	0	0	0.697899	0.083333
Amp	2	61772500	61822500	0	0.103431	0.621303	0.166667
Amp	2	61827500	63272500	0	0	0.697899	0.083333
Amp	2	63277500	70347500	0	0.021541	0.40035	0.166667
Amp	2	70352500	70427500	0.111999	0.189837	0.551655	0.25
Amp	2	70432500	74632500	0	0.021541	0.40035	0.166667
Amp	2	74637500	74787500	0.039341	0.165106	0.513114	0.25
Amp	2	74792500	85042500	0	0	0.375701	0.166667
Amp	2	85047500	85047500	0	0.061583	0.439824	0.166667
Amp	2	85052500	85962500	0	0.099815	0.378358	0.25
Amp	2	85967500	86022500	0.15657	0.23087	0.586836	0.25
Amp	2	86027500	87562500	0	0.061583	0.439824	0.166667
Amp	2	87567500	87622500	0	0.144761	0.425533	0.25
Amp	2	87627500	87632500	0.169382	0.25866	0.606721	0.25
Amp	2	87637500	87727500	0.175808	0.321629	0.706889	0.25
Amp	2	87732500	88122500	0	0.035277	0.377052	0.166667
Amp	2	88127500	88257500	0	0	0.585751	0.083333
Amp	2	88262500	88497500	0	0.031993	0.410166	0.166667
Amp	2	88502500	89627500	0	0	0.585751	0.083333
Amp	2	89632500	89632500	0	0.105763	0.594669	0.166667
Amp	2	89832500	89877500	0.471206	0.551988	0.557365	0.5
Amp	2	89882500	90322500	0	0	0.585751	0.083333
Amp	2	90372500	91612500	0	0.024723	0.351868	0.166667
Amp	2	91617500	92027500	0	0	0.585751	0.083333
Amp	2	92032500	92137500	0	0.082302	0.392773	0.083333
Amp	2	92142500	95382500	0	0	0	0
Amp	2	95387500	95922500	0	0.039104	0.160338	0.166667
Amp	2	95927500	95937500	0.077169	0.171089	0.475276	0.166667
Amp	2	95942500	96007500	0.169382	0.289497	0.757817	0.166667
Amp	2	96012500	96102500	0.077169	0.171089	0.816493	0.083333
Amp	2	96107500	96302500	0	0	0	0
Amp	2	96307500	96502500	0	0.088075	0.420324	0.083333
Amp	2	96507500	96667500	0	0	0	0
Amp	2	96672500	96732500	0	0.126377	0.629703	0.083333
Amp	2	96737500	97667500	0.154842	0.212837	0.521161	0.166667
Amp	2	97672500	97672500	0	0.086461	0.412619	0.083333
Amp	2	97677500	98212500	0	0	0	0
Amp	2	98217500	98382500	0	0.092967	0.504461	0.083333
Amp	2	98387500	109732500	0	0	0	0
Amp	2	109737500	110297500	0	0.075031	0.529584	0.083333
Amp	2	110302500	121062500	0	0	0.171512	0.083333
Amp	2	121067500	121877500	0	0.084977	0.579158	0.083333
Amp	2	121882500	127397500	0	0	0.17362	0.083333
Amp	2	127402500	127792500	0	0.02393	0.18601	0.083333
Amp	2	127797500	127797500	0.154842	0.217798	0.62382	0.166667
Amp	2	127802500	127862500	0.175808	0.317495	0.861713	0.166667
Amp	2	127867500	127877500	0.010686	0.148496	0.458455	0.166667
Amp	2	127882500	128332500	0	0.048799	0.202157	0.166667
Amp	2	128337500	128367500	0.111999	0.189068	0.53686	0.166667
Amp	2	128372500	128422500	0.169382	0.294119	0.52502	0.25
Amp	2	128427500	128472500	0	0.128981	0.262322	0.25
Amp	2	128477500	128522500	0	0.02393	0.142814	0.166667
Amp	2	128527500	129022500	0	0.057917	0.264714	0.166667
Amp	2	129027500	129082500	0.077169	0.178035	0.551334	0.166667
Amp	2	129087500	129662500	0	0.057917	0.253821	0.166667
Amp	2	129667500	132227500	0	0.02393	0.172721	0.166667
Amp	2	132232500	132297500	0.010686	0.155997	0.487855	0.166667
Amp	2	132302500	132942500	0	0.02393	0.127413	0.083333
Amp	2	132947500	136847500	0	0	0	0
Amp	2	136852500	136912500	0	0.100971	0.548238	0.083333
Amp	2	136917500	137297500	0	0.022599	0.174223	0.083333
Amp	2	137302500	145072500	0	0	0	0
Amp	2	145077500	145307500	0	0.073666	0.36477	0.083333
Amp	2	145312500	149272500	0	0	0	0
Amp	2	149277500	149387500	0	0.084572	0.403605	0.083333
Amp	2	149392500	157167500	0	0	0	0
Amp	2	157172500	157212500	0.926938	0.762803	3.656854	0.083333
Amp	2	157217500	176927500	0	0	0	0
Amp	2	176932500	177052500	0	0.120939	0.710765	0.083333
Amp	2	177057500	182427500	0	0	0	0
Amp	2	182432500	182557500	0	0.103734	0.560277	0.083333
Amp	2	182562500	202697500	0	0	0	0
Amp	2	202702500	202987500	0	0.082924	0.445281	0.083333
Amp	2	202992500	216937500	0	0	0	0
Amp	2	216942500	218647500	0	0.066413	0.330157	0.083333
Amp	2	218652500	219312500	0.133141	0.200664	0.486325	0.166667
Amp	2	219317500	219457500	0	0.066413	0.354466	0.083333
Amp	2	219462500	220297500	0.133141	0.199591	0.495918	0.166667
Amp	2	220302500	220412500	0.175808	0.315314	0.772053	0.166667
Amp	2	220417500	220532500	0.154842	0.222792	0.551281	0.166667
Amp	2	220537500	230692500	0	0	0	0
Amp	2	230697500	232457500	0	0.072432	0.34567	0.083333
Amp	2	232462500	232582500	0.133141	0.199402	0.482411	0.166667
Amp	2	232587500	234392500	0	0.108863	0.26637	0.166667
Amp	2	234397500	234472500	0	0.03643	0.187071	0.083333
Amp	2	234477500	238707500	0	0.100051	0.245343	0.166667
Amp	2	238712500	238762500	0	0.03643	0.281881	0.083333
Amp	2	238767500	239587500	0	0.137275	0.381573	0.166667
Amp	2	239592500	241492500	0.039341	0.162189	0.44102	0.166667
Amp	2	241497500	241942500	0.169382	0.25812	0.696468	0.166667
Amp	2	241947500	243027500	0.039341	0.162189	0.467561	0.166667
Amp	2	243032500	243187500	0	0.03643	0.334964	0.083333
Amp	3	62500	8467500	0	0	0.111209	0.083333
Amp	3	8472500	9002500	0	0.067315	0.216228	0.166667
Amp	3	9007500	9532500	0.039341	0.158681	0.293993	0.25
Amp	3	9537500	10287500	0.169382	0.265625	0.348087	0.333333
Amp	3	10292500	13932500	0.039341	0.158681	0.293993	0.25
Amp	3	13937500	13992500	0	0.067315	0.216228	0.166667
Amp	3	13997500	14152500	0	0	0.111209	0.083333
Amp	3	14157500	14227500	0	0.142752	0.268654	0.25
Amp	3	14232500	14967500	0.111999	0.189782	0.343467	0.25
Amp	3	14972500	16977500	0	0.065262	0.211331	0.166667
Amp	3	16982500	32422500	0	0	0.111209	0.083333
Amp	3	32427500	32512500	0	0.096797	0.286578	0.166667
Amp	3	32517500	32807500	0	0	0.111209	0.083333
Amp	3	32812500	32857500	0	0.137203	0.415033	0.166667
Amp	3	32862500	37492500	0	0	0.111209	0.083333
Amp	3	37497500	38207500	0	0.075516	0.299358	0.166667
Amp	3	38212500	39132500	0	0	0.119163	0.166667
Amp	3	39137500	39242500	0	0.088757	0.348943	0.166667
Amp	3	39247500	42537500	0	0	0.137154	0.166667
Amp	3	42542500	42587500	0.010686	0.154032	0.357827	0.25
Amp	3	42592500	42687500	0	0	0.137154	0.166667
Amp	3	42692500	42752500	0	0.115747	0.340654	0.25
Amp	3	42757500	46677500	0	0	0.156527	0.25
Amp	3	46682500	46697500	0	0.116844	0.256799	0.333333
Amp	3	46702500	46707500	0.169382	0.278594	0.44978	0.333333
Amp	3	46712500	46757500	0.383658	0.413425	0.610644	0.333333
Amp	3	46762500	46882500	0	0.116844	0.227675	0.333333
Amp	3	46887500	47057500	0.257794	0.352318	0.527348	0.333333
Amp	3	47062500	47077500	0.169382	0.251679	0.407278	0.333333
Amp	3	47082500	47197500	0	0.116844	0.289556	0.25
Amp	3	47202500	49022500	0.15657	0.235936	0.373091	0.333333
Amp	3	49027500	49067500	0.223284	0.345601	0.503929	0.333333
Amp	3	49072500	49467500	0.169382	0.259626	0.401354	0.333333
Amp	3	49472500	50152500	0.169382	0.284005	0.43044	0.333333
Amp	3	50157500	50657500	0.400228	0.424305	0.59783	0.333333
Amp	3	50662500	50702500	0.169382	0.308418	0.459566	0.333333
Amp	3	50707500	50732500	0	0.095044	0.204994	0.333333
Amp	3	50737500	51937500	0	0.046942	0.130192	0.25
Amp	3	51942500	51957500	0	0.144144	0.28482	0.25
Amp	3	51962500	51962500	0.169382	0.268823	0.406073	0.333333
Amp	3	51967500	52562500	0.383658	0.418224	0.58432	0.333333
Amp	3	52567500	52572500	0.169382	0.295403	0.583714	0.25
Amp	3	52577500	52802500	0	0.021324	0.129266	0.25
Amp	3	52807500	52887500	0.169382	0.285575	0.579583	0.25
Amp	3	52892500	52902500	0.097697	0.184639	0.419017	0.25
Amp	3	52907500	53162500	0	0.052802	0.209294	0.25
Amp	3	53167500	53202500	0.111999	0.190733	0.428712	0.25
Amp	3	53207500	53312500	0.039341	0.159255	0.369897	0.25
Amp	3	53317500	66417500	0	0	0.129907	0.166667
Amp	3	66422500	66557500	0	0.086783	0.336986	0.166667
Amp	3	66562500	90317500	0	0	0.111209	0.083333
Amp	3	90322500	93522500	0	0.046596	0.16679	0.166667
Amp	3	93527500	94792500	0	0	0.111209	0.083333
Amp	3	94797500	94842500	0.471206	0.60764	1.884032	0.166667
Amp	3	94847500	122622500	0	0	0.434105	0.166667
Amp	3	122627500	122882500	0	0.117923	0.48067	0.25
Amp	3	122887500	122992500	0	0	0.434105	0.166667
Amp	3	122997500	123207500	0.010686	0.153282	0.533241	0.25
Amp	3	123212500	123582500	0	0.056117	0.378674	0.25
Amp	3	123587500	123612500	0	0.088646	0.45483	0.333333
Amp	3	123617500	123677500	0	0.032529	0.51717	0.25
Amp	3	123682500	124937500	0	0.086444	0.452203	0.333333
Amp	3	124942500	125057500	0	0.032529	0.51717	0.25
Amp	3	125062500	126662500	0	0.092759	0.47081	0.333333
Amp	3	126667500	126752500	0.15657	0.238178	0.667852	0.333333
Amp	3	126757500	127237500	0	0.092759	0.494356	0.333333
Amp	3	127242500	127382500	0	0.118687	0.52529	0.333333
Amp	3	127387500	127537500	0.169382	0.279653	0.586702	0.416667
Amp	3	127542500	128032500	0.097697	0.185675	0.497004	0.416667
Amp	3	128037500	128112500	0.169382	0.292123	0.598605	0.416667
Amp	3	128117500	128207500	0.451188	0.495912	0.793114	0.416667
Amp	3	128212500	129082500	0.375817	0.389464	0.681378	0.416667
Amp	3	129087500	129212500	0.312326	0.356935	0.65033	0.416667
Amp	3	129217500	129347500	0.400265	0.466281	0.754697	0.416667
Amp	3	129352500	129362500	0.169382	0.289947	0.729617	0.333333
Amp	3	129367500	129627500	0	0.075276	0.585171	0.25
Amp	3	129632500	129782500	0.039341	0.165244	0.557289	0.333333
Amp	3	129787500	129797500	0.154842	0.219555	0.622087	0.333333
Amp	3	129802500	129872500	0	0.144279	0.524156	0.333333
Amp	3	129877500	131272500	0	0	0.454596	0.25
Amp	3	131277500	131432500	0.15657	0.249322	0.661347	0.333333
Amp	3	131437500	134042500	0	0	0.454596	0.25
Amp	3	134047500	134092500	0.010686	0.152971	0.531488	0.333333
Amp	3	134097500	141637500	0	0.02603	0.380037	0.333333
Amp	3	141642500	141692500	0	0.146587	0.523872	0.333333
Amp	3	141697500	141747500	0.169382	0.286162	0.690396	0.333333
Amp	3	141752500	159472500	0	0.106813	0.476418	0.333333
Amp	3	159477500	159627500	0.111999	0.191429	0.473342	0.416667
Amp	3	159632500	163632500	0	0.106813	0.487351	0.333333
Amp	3	163637500	164842500	0.15657	0.246793	0.547456	0.416667
Amp	3	164847500	164937500	0	0.106813	0.493012	0.333333
Amp	3	164942500	174572500	0.169382	0.259995	0.560056	0.416667
Amp	3	174577500	174617500	0	0.106813	0.493012	0.333333
Amp	3	174622500	175022500	0	0	0.462145	0.25
Amp	3	175027500	175077500	0.039341	0.16454	0.567973	0.333333
Amp	3	175082500	175492500	0.169382	0.26322	0.565228	0.416667
Amp	3	175497500	177752500	0.039341	0.16454	0.567973	0.333333
Amp	3	177757500	181407500	0.169382	0.30065	0.597924	0.416667
Amp	3	181412500	181457500	0.362576	0.387207	0.572285	0.5
Amp	3	181462500	182227500	0.169382	0.30065	0.597924	0.416667
Amp	3	182232500	183507500	0.400228	0.434736	0.649966	0.416667
Amp	3	183512500	183847500	0.471206	0.603932	0.816264	0.416667
Amp	3	183852500	184112500	0.856474	0.694813	0.770828	0.5
Amp	3	184117500	184257500	0.471206	0.603932	0.698543	0.5
Amp	3	184262500	184317500	0.9149	0.718334	0.789536	0.5
Amp	3	184322500	184512500	0.471206	0.603932	0.816264	0.416667
Amp	3	184517500	193142500	0.400228	0.434736	0.654772	0.416667
Amp	3	193147500	193962500	0.400265	0.467829	0.585347	0.5
Amp	3	193967500	194122500	0.805823	0.687536	0.760099	0.5
Amp	3	194127500	194202500	0.400228	0.421978	0.544873	0.5
Amp	3	194207500	194992500	0.548277	0.615682	0.698943	0.5
Amp	3	194997500	195157500	0.400228	0.445199	0.563343	0.5
Amp	3	195162500	195197500	0.548277	0.612903	0.696733	0.5
Amp	3	195202500	195207500	0.769489	0.67775	0.748311	0.5
Amp	3	195212500	196737500	0.856474	0.700753	0.766607	0.5
Amp	3	196742500	196762500	0.9149	0.732804	0.689573	0.583333
Amp	3	196767500	197052500	0.471206	0.541879	0.54967	0.583333
Amp	3	197057500	197477500	0.926938	0.748426	0.690485	0.583333
Amp	3	197482500	197712500	0.548277	0.615957	0.600173	0.583333
Amp	3	197717500	197962500	0.451188	0.500026	0.521136	0.583333
Amp	4	12500	67500	0	0.144122	0.372201	0.166667
Amp	4	72500	267500	0.010686	0.146911	0.392581	0.166667
Amp	4	272500	487500	0	0.073899	0.409277	0.083333
Amp	4	492500	622500	0.154842	0.223898	0.56256	0.166667
Amp	4	627500	1097500	0.362576	0.378904	0.932428	0.166667
Amp	4	1102500	1732500	0.154842	0.223898	0.534257	0.166667
Amp	4	1737500	1807500	1.101017	0.990162	1.575123	0.25
Amp	4	1812500	4437500	0.154842	0.223898	0.534257	0.166667
Amp	4	4442500	4532500	0	0.073899	0.352672	0.083333
Amp	4	4537500	5317500	0	0.139748	0.333461	0.166667
Amp	4	5322500	9382500	0.154842	0.214161	0.511021	0.166667
Amp	4	9387500	9452500	0	0.073899	0.352672	0.083333
Amp	4	9457500	10132500	0.077169	0.170768	0.40748	0.166667
Amp	4	10137500	10327500	0	0.096869	0.462289	0.083333
Amp	4	10332500	12827500	0	0	0	0
Amp	4	12832500	13047500	0	0.144191	0.688125	0.083333
Amp	4	13052500	39242500	0	0	0	0
Amp	4	39247500	40097500	0	0.045887	0.218985	0.083333
Amp	4	40102500	49087500	0	0	0	0
Amp	4	49092500	49097500	0.926938	0.774661	0.528133	0.583333
Amp	4	49102500	49147500	0.926938	0.86848	0.518083	0.666667
Amp	4	49152500	49157500	0.471206	0.57851	0.460139	0.5
Amp	4	49162500	49162500	0.15657	0.250656	0.398736	0.25
Amp	4	49167500	49267500	0.097697	0.188105	0.448849	0.166667
Amp	4	49272500	49337500	0.154842	0.210075	0.334182	0.25
